Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,110.214,110.214,screen dark,0.046995249600000004
0,6.911,6.911,wifi running,0.0029468504
6.911,7.733,0.8220000000000001,wifi scan,0.00035050080000000006
7.733,8.368,0.6350000000000007,wifi running,0.0002707640000000003
8.368,11.173,2.8049999999999997,wifi scan,0.001196052
11.173,98.215,87.042,wifi running,0.03711470880000001
98.215,99.745,1.5300000000000011,wifi scan,0.0006523920000000006
99.745,110.214,10.468999999999994,wifi running,0.004463981599999998
6.911,7.733,0.8220000000000001,gps,0.00035050080000000006
0.0,0.011059999989811331,0.011059999989811331,core 0 cpu_idle start,4.7159839956555526e-06
0.0,0.008360000007087365,0.008360000007087365,core 1 cpu_idle start,3.564704003022053e-06
0.0,0.004213000007439405,0.004213000007439405,core 2 cpu_idle start,1.7964232031721625e-06
0.0,0.008941999985836446,0.008941999985836446,core 3 cpu_idle start,3.8128687939606613e-06
0.0,0.013586999994004145,0.013586999994004145,core 4 cpu_idle start,5.793496797443368e-06
0.0,0.012755000003380701,0.012755000003380701,core 5 cpu_idle start,5.438732001441532e-06
0.0,0.00013000000035390258,0.00013000000035390258,core 6 cpu_idle start,5.543200015090407e-08
0.0,0.001281999982893467,0.001281999982893467,core 7 cpu_idle start,5.466447927057744e-07
